feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569,LBT070 LGALS1KO
std_circularity_round_t_1dpi_end,0.10391920741559052,0.0966321903763333,0.10478138899901938,0.10048637445815269,0.10061340568550675,0.09749850548723976,0.09955150970416074,0.09914063681410837,0.10230907236002956
mean_circularity_round_t_5dpi_start,0.7842772563176895,0.7883746031746031,0.79533203125,0.7882059539918809,0.7809946327683615,0.7730236593059937,0.7965696335078534,0.799968129330254,0.8034604790419163
std_circularity_round_t_5dpi_start,0.11193973221120995,0.10866211365717328,0.10625674369231114,0.11306621015042946,0.11721725500949541,0.11292854457121179,0.1106022480944632,0.11012964014885625,0.1052474404909194
mean_circularity_round_t_5dpi_end,0.7984335135135135,0.7854461728395062,0.7870885714285715,0.7900655367231639,0.7680970666666667,0.7822308823529412,0.7830753846153846,0.8181090909090908,0.8127556250000001
std_circularity_round_t_5dpi_end,0.1005499597922275,0.10742749531163075,0.10953645881405792,0.11316793531573542,0.10952951799505083,0.1092275123604227,0.09564952178287556,0.10617850729228127,0.11933817112582727
mean_circularity_remified_t_1dpi_start,0.28236217948717945,0.28486999999999996,0.2868728260869566,0.27896017441860466,0.2799125,0.2856141025641026,0.2712589285714286,0.2791813664596273,0.27429364779874216
std_circularity_remified_t_1dpi_start,0.049203670651098486,0.05428335024751107,0.04632843833455724,0.05008235155217583,0.04961385393644788,0.05312911918174727,0.059286002569319436,0.05687749330245768,0.06116419764822489
mean_circularity_remified_t_1dpi_mid,0.2685302290076336,0.2842901785714286,0.26013626373626375,0.27128952879581153,0.2926869565217391,0.2724012820512821,0.27849814814814816,0.2685701030927835,0.26784571428571424
std_circularity_remified_t_1dpi_mid,0.06936458456219292,0.05487402766044731,0.06067113264969048,0.05398076666532996,0.048659764847107975,0.05645863557333396,0.045107638522867866,0.06370830526206345,0.05371487548844822
mean_circularity_remified_t_1dpi_end,0.25414333333333333,0.24989483050847458,0.2902866666666667,0.24594272108843537,0.27336428571428567,0.27427209876543207,0.27983617021276597,0.25220369230769235,0.25238
std_circularity_remified_t_1dpi_end,0.07138099911802663,0.06504911483966572,0.059371883124481786,0.07103081046285982,0.051465761465022575,0.06384037873313506,0.05992121068003968,0.07070782275430242,0.06950203833941371
mean_circularity_remified_t_5dpi_start,0.23477942857142858,0.22872767527675275,0.24504441860465118,0.244294060475162,0.24577622775800712,0.24980318367346938,0.22164290322580646,0.23122986547085203,0.234124
std_circularity_remified_t_5dpi_start,0.07802940630680195,0.07543744733307987,0.07362162338374509,0.07957345585673245,0.07203210801940596,0.07751157738794215,0.0840916560167917,0.08396075574837138,0.07519478371636733
mean_circularity_remified_t_5dpi_end,0.22265425,0.23489820652173915,0.24554285714285712,0.23705882978723408,0.24712752873563215,0.25067505494505493,0.24941402439024396,0.2269058653846154,0.2468330952380952
std_circularity_remified_t_5dpi_end,0.07676045434550993,0.07085901848067434,0.06425664612651809,0.0706715411692967,0.06860996378698775,0.07783429350244395,0.07891234233308009,0.07368851274061276,0.07322593008004204
mean_distance_to_tumor_round_t_1dpi_start,30.947300324922466,28.75100360328311,42.28773981435902,25.14398786466414,25.617788377880768,31.207514986509807,25.353296309074548,25.843686419915418,22.226555606105283
std_distance_to_tumor_round_t_1dpi_start,32.69693651224294,30.795233693102315,36.438978614131635,32.60495519033096,28.122264858207128,30.60556446424858,23.815791717834614,29.20464254007023,21.442793943922222
mean_distance_to_tumor_round_t_1dpi_mid,34.98829535425898,32.246422251749046,48.607207694542495,34.01068151319594,29.14975693836069,40.4491234417978,35.26216271384759,31.37111953012817,20.724859527951335
std_distance_to_tumor_round_t_1dpi_mid,37.95591498656426,32.816467752322204,36.72336113311493,36.70340738107149,28.88434995832025,35.14154354635052,36.76976633675468,31.275963501704787,25.664284851519184
