feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569
mean_area_mum2_remified_t_1dpi_end,155.9729704797048,167.36842364532023,161.23994475138122,156.95110207768744,152.01946175637391,197.76364864864865,214.68457627118644,160.79902317880791
std_area_mum2_remified_t_1dpi_end,51.11170144598733,65.23599099538838,52.579033807029504,51.112914449427215,57.418632789462954,64.65069727496687,69.7054815936073,57.37356530128324
mean_area_mum2_remified_t_5dpi_start,195.4413068181818,188.75801107325384,176.39201657458563,188.22883110450718,205.52545167118336,186.5164985727878,196.88990925589837,179.9489589905363
std_area_mum2_remified_t_5dpi_start,36.105302570998006,41.21326799331797,33.67217771088656,42.59277655651669,36.295185540729506,33.275194500163074,31.287030029259626,33.3504242633305
mean_area_mum2_remified_t_5dpi_end,193.46877450980392,169.4779302832244,154.38873287671234,168.12757489300998,176.02976047904193,173.24611771058318,181.22518561484918,163.20137142857143
std_area_mum2_remified_t_5dpi_end,38.1778772490986,41.02400693993951,37.78187234725823,40.16389309158031,33.82924863770979,30.843729213982957,40.78473309163773,34.312657300495665
mean_perimeter_mum_round_t_1dpi_start,39.729673024523166,41.454240322580645,38.28524719101124,37.55990356083086,42.46692832764505,47.941078431372546,39.92802469135802,40.83086377708978
std_perimeter_mum_round_t_1dpi_start,12.241620236431675,13.833987344699242,11.64570472335286,13.275739285707127,12.469048452052787,13.869459975555019,13.165581587965749,15.074667420082811
mean_perimeter_mum_round_t_1dpi_mid,36.24972881355932,38.32500809061489,36.27552439024391,35.4156925329429,39.53232142857143,43.385025906735756,40.37469879518072,36.310623441396515
std_perimeter_mum_round_t_1dpi_mid,11.15687329532559,12.560426369168331,12.094938431001136,12.113864854687877,11.280381885840795,12.13675714875547,12.712789828084444,12.08143241653692
mean_perimeter_mum_round_t_1dpi_end,35.37733636363637,37.43221463414634,33.52369047619048,34.686738304093566,37.164983713355056,42.33635164835165,44.08076271186442,35.65956223175966
std_perimeter_mum_round_t_1dpi_end,10.825153436571979,12.282777122718025,11.772873509646022,10.691917379662232,11.143999832689145,11.662938583620365,12.341459495951915,11.062977242892803
mean_perimeter_mum_round_t_5dpi_start,30.455334841628954,30.434783715012724,28.360905511811023,30.393135646687696,30.351947368421055,30.356846441947567,29.086054347826092,29.938141414141416
std_perimeter_mum_round_t_5dpi_start,8.900602834849732,9.50565591015071,8.849799352431823,9.86805723450501,9.004991902213847,8.172917783777798,8.39651292487403,8.079848201682374
mean_perimeter_mum_round_t_5dpi_end,31.92486754966888,31.182847769028875,32.06659200000001,30.30556771799629,29.536316151202747,30.12032930513595,33.32737566137566,29.51991066997519
std_perimeter_mum_round_t_5dpi_end,9.072451156238868,9.534829406081712,8.838807203222725,9.624352029584374,8.496644928707527,8.070762548011249,9.089656254275727,8.2670376889914
mean_perimeter_mum_remified_t_1dpi_start,75.46996644295301,71.20645935960592,77.29080508474576,73.7094693877551,75.16068235294118,77.24663306451613,83.95672413793103,77.5456330749354
std_perimeter_mum_remified_t_1dpi_start,12.241620236431675,13.833987344699242,11.64570472335286,13.275739285707127,12.469048452052787,13.869459975555019,13.165581587965749,15.074667420082811
mean_perimeter_mum_remified_t_1dpi_mid,72.76249635036496,65.73133447390933,74.06882513661203,68.10250336473754,64.42840753424657,72.91705882352942,83.07246696035243,65.59501123595506
std_perimeter_mum_remified_t_1dpi_mid,11.15687329532559,12.560426369168331,12.094938431001136,12.113864854687877,11.280381885840795,12.13675714875547,12.712789828084444,12.08143241653692
mean_perimeter_mum_remified_t_1dpi_end,64.89415129151291,63.98662561576354,68.39696132596684,63.89864498644987,59.3071104815864,70.54615830115831,78.41207627118644,62.48243377483443
std_perimeter_mum_remified_t_1dpi_end,10.825153436571979,12.282777122718025,11.772873509646022,10.691917379662232,11.143999832689145,11.662938583620365,12.341459495951915,11.062977242892803
mean_perimeter_mum_remified_t_5dpi_start,81.56387784090909,82.31094548551958,78.64792817679559,81.11819217434373,85.53447154471544,81.44020932445291,90.32206896551725,81.84464773922188
std_perimeter_mum_remified_t_5dpi_start,8.900602834849732,9.50565591015071,8.849799352431823,9.86805723450501,9.004991902213847,8.172917783777798,8.39651292487403,8.079848201682374
mean_perimeter_mum_remified_t_5dpi_end,82.09318627450979,76.01782135076255,66.7277397260274,73.6605634807418,76.02547904191617,76.92281857451404,82.92524361948955,73.7242857142857
std_perimeter_mum_remified_t_5dpi_end,9.072451156238868,9.534829406081712,8.838807203222725,9.624352029584374,8.496644928707527,8.070762548011249,9.089656254275727,8.2670376889914
mean_eccentricity_round_t_1dpi_start,0.6262643051771117,0.634116370967742,0.640802808988764,0.6360560830860534,0.6306750853242321,0.6207323529411767,0.6064814814814816,0.6283705882352941
std_eccentricity_round_t_1dpi_start,0.14281920113976865,0.146320601954324,0.1407041362109418,0.15070324273244198,0.13487516384545595,0.14245864919822246,0.147246327722554,0.14882163915684413
mean_eccentricity_round_t_1dpi_mid,0.625430790960452,0.650867071197411,0.6542518292682927,0.6476297218155197,0.6328526785714286,0.6376362694300517,0.656166265060241,0.6495907730673317
std_eccentricity_round_t_1dpi_mid,0.1427217226834031,0.13803961116375718,0.12691929877501382,0.14206840142773955,0.14417430223739477,0.15159939681666623,0.1417117723022715,0.13912792652681513
mean_eccentricity_round_t_1dpi_end,0.6144156818181817,0.6301741463414634,0.6549845238095238,0.645150730994152,0.6468413680781759,0.6265311355311356,0.6114847457627121,0.6410304721030042
